"","Method","Accession","Species","b","d","e","twenty","fifty","eighty"
"22","Rt_Boiling_zeroed","524-2009 A","RUBR",-33.4691820127639,25.1643660954693,20.7175768480057,-9.876983173965,-10.7175768480057,-11.5937190617143
"23","Rt_Boiling_zeroed","530-2008 A","SACC",-8.71558929589152,16.1845793415336,33.0495125073083,-18.1894459396056,-23.0495125073083,-28.7474900823117
"24","Rt_Boiling_zeroed","531-94 A","TEGM",-6.09636225596286,30.3257504426627,28.0895497947922,-12.3762613229075,-18.0895497947922,-25.261601403732
"25","Rt_Boiling_zeroed","567-2008 B","RUBR",-3.636005218254,28.0912139424999,30.8956910810969,-11.1015858818182,-20.8956910810969,-35.235639289132
"26","Rt_Boiling_zeroed","603-2008 A","SPIC",-4.11477179987783,30.414984562954,32.5922718662118,-13.2700810181146,-22.5922718662118,-35.6490110444457
"27","Rt_Boiling_zeroed","666-94 A","DAVI",-8.56743038133218,39.7626755250977,26.2740319165958,-12.3487692536747,-16.2740319165958,-20.8887145112382
"28","Rt_Boiling_zeroed","699-89 A","CAMP",-4.54752434677481,33.566483129816,40.8047182961467,-20.0827456540887,-30.8047182961467,-45.3481738127712
"29","Rt_Boiling_zeroed","750-55 B","PSEP",-5.8310955515267,23.8482180967344,28.4127980870998,-12.4008301004298,-18.4127980870998,-26.0382669534558
"30","Rt_Boiling_zeroed","78-2000 B","TATA",-4.21535808155954,26.1845836573333,32.3740560847535,-13.3008500611515,-22.3740560847535,-34.9803120756603
"31","Rt_Boiling_zeroed","Bussey1","NEGU",-3.42428402161572,39.6989132567282,28.3542773255829,-8.914631701298,-18.3542773255829,-32.5049271565193
"32","Rt_Boiling_zeroed","Bussey2","NEGU",-2.37057755878555,40.6783499256373,38.8062060000424,-11.6236660194381,-28.8062060000424,-59.6422902001913
"33","Rt_Boiling_zeroed","Bussey3","NEGU",-1.6951368584128,38.9834755723159,45,-9.862941154736,-35,-91.948648199925
"34","Rt_Boiling_zeroed","Weld1","PLAT",-4.83024847786453,26.3961993273002,32.9428787004928,-14.7239500593647,-22.9428787004928,-33.8940078130568
"35","Rt_Boiling_zeroed","Weld2","PLAT",-2.89173879649618,31.5285061521217,34.6049990853919,-11.4258890231774,-24.6049990853919,-45.8906078718404
"36","Rt_Boiling_zeroed","Weld3","PLAT",-2.58573772175555,42.8876192683976,45,-16.3253251235706,-35,-66.9221269061135
