Code,Temperature,Damage,Species,Genotype
9,-30,1,DAVI,126-2003 B
9,-30,0.5,DAVI,126-2003 B
9,-30,0.5,DAVI,126-2003 B
9,-20,0.25,DAVI,126-2003 B
9,-20,0.25,DAVI,126-2003 B
9,-20,0.25,DAVI,126-2003 B
9,-10,0,DAVI,126-2003 B
9,-10,0,DAVI,126-2003 B
9,-10,0.25,DAVI,126-2003 B
9,4,0,DAVI,126-2003 B
9,4,0,DAVI,126-2003 B
9,4,0,DAVI,126-2003 B
10,-80,1,HYRC,31-73 A
10,-80,1,HYRC,31-73 A
10,-80,1,HYRC,31-73 A
10,-40,0.5,HYRC,31-73 A
10,-40,0.75,HYRC,31-73 A
10,-40,0.75,HYRC,31-73 A
10,-30,1,HYRC,31-73 A
10,-30,0.5,HYRC,31-73 A
10,-30,0.25,HYRC,31-73 A
10,-20,0,HYRC,31-73 A
10,-20,0,HYRC,31-73 A
10,-20,0,HYRC,31-73 A
10,-10,0,HYRC,31-73 A
10,-10,0,HYRC,31-73 A
10,-10,0,HYRC,31-73 A
10,4,0,HYRC,31-73 A
10,4,0,HYRC,31-73 A
10,4,0,HYRC,31-73 A
11,-80,1,HYRC,31-73 B
11,-80,1,HYRC,31-73 B
11,-80,1,HYRC,31-73 B
11,-40,1,HYRC,31-73 B
11,-40,1,HYRC,31-73 B
11,-40,1,HYRC,31-73 B
11,-30,1,HYRC,31-73 B
11,-30,1,HYRC,31-73 B
11,-30,0.5,HYRC,31-73 B
11,-20,0,HYRC,31-73 B
11,-20,0,HYRC,31-73 B
11,-20,0,HYRC,31-73 B
11,-10,0,HYRC,31-73 B
11,-10,0,HYRC,31-73 B
11,-10,0,HYRC,31-73 B
11,4,0,HYRC,31-73 B
11,4,0,HYRC,31-73 B
11,4,0,HYRC,31-73 B
12,-80,1,HYRC,31-73 C
12,-80,1,HYRC,31-73 C
12,-80,1,HYRC,31-73 C
12,-40,1,HYRC,31-73 C
12,-40,1,HYRC,31-73 C
12,-40,1,HYRC,31-73 C
12,-30,0,HYRC,31-73 C
12,-30,1,HYRC,31-73 C
12,-30,0.5,HYRC,31-73 C
12,-20,0,HYRC,31-73 C
12,-20,0,HYRC,31-73 C
12,-20,0,HYRC,31-73 C
12,-10,0,HYRC,31-73 C
12,-10,0,HYRC,31-73 C
12,-10,0,HYRC,31-73 C
12,4,0,HYRC,31-73 C
12,4,0,HYRC,31-73 C
12,4,0,HYRC,31-73 C
13,-80,1,NEGU,Bussey1
13,-80,1,NEGU,Bussey1
13,-80,1,NEGU,Bussey1
13,-40,1,NEGU,Bussey1
13,-40,1,NEGU,Bussey1
13,-40,1,NEGU,Bussey1
13,-30,1,NEGU,Bussey1
13,-30,1,NEGU,Bussey1
13,-30,1,NEGU,Bussey1
13,-20,0.5,NEGU,Bussey1
13,-20,0.5,NEGU,Bussey1
13,-20,0.25,NEGU,Bussey1
13,-10,0,NEGU,Bussey1
13,-10,0,NEGU,Bussey1
13,-10,0,NEGU,Bussey1
13,4,0,NEGU,Bussey1
13,4,0,NEGU,Bussey1
13,4,0,NEGU,Bussey1
14,-80,1,NEGU,Bussey2
14,-80,1,NEGU,Bussey2
14,-80,1,NEGU,Bussey2
14,-40,0.75,NEGU,Bussey2
14,-40,1,NEGU,Bussey2
14,-40,1,NEGU,Bussey2
14,-30,1,NEGU,Bussey2
14,-30,0.5,NEGU,Bussey2
14,-30,1,NEGU,Bussey2
14,-20,1,NEGU,Bussey2
14,-20,0.5,NEGU,Bussey2
14,-20,0.5,NEGU,Bussey2
14,-10,0,NEGU,Bussey2
14,-10,0,NEGU,Bussey2
14,-10,0,NEGU,Bussey2
14,4,0,NEGU,Bussey2
14,4,0,NEGU,Bussey2
14,4,0,NEGU,Bussey2
15,-80,1,NEGU,Bussey3
15,-80,1,NEGU,Bussey3
15,-80,1,NEGU,Bussey3
15,-40,1,NEGU,Bussey3
15,-40,1,NEGU,Bussey3
15,-40,1,NEGU,Bussey3
15,-30,1,NEGU,Bussey3
15,-30,1,NEGU,Bussey3
15,-30,0.75,NEGU,Bussey3
15,-20,0.75,NEGU,Bussey3
15,-20,0.25,NEGU,Bussey3
15,-20,0,NEGU,Bussey3
15,-10,0,NEGU,Bussey3
15,-10,0,NEGU,Bussey3
15,-10,0,NEGU,Bussey3
15,4,0,NEGU,Bussey3
15,4,0,NEGU,Bussey3
